,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Live Portfolio Dashboards,,,,,,Instructions,"1. Select 'File' in the top menu.

2. Select 'Make a Copy' to save a copy to your personal drive.",,,,,
,EVM Wallets,,https://app.zerion.io/,How to Guide - Zerion,,,,,,,,,
,Solana,,https://jup.ag/portfolio,How to Guide - Jupiter,,,,,,,,,
,Getquin (Manual),,https://app.getquin.com/en,How to Guide - getquin,,,,,,,,,
,,,,,,,,,,,,,
,,Token,Price per token,Token balance,Value in USD,Narrative,Total value summary,,,,,,
,BLUE CHIP ASSETS,SOL,$158.27,50,"$7,913.50",Layer1,,Value in USD,%,,,,
,,ETH,"$3,453.45",1.5,"$5,180.18",Layer1,Blue chips,"$75,316.02",59.08%,,,,
,,BTC,"$103,170.58",0.25,"$25,792.65",Layer1,Mid caps,"$34,398.15",26.98%,,,,
,,SUI,$2.05,10000,"$20,520.00",Layer1,Low caps,"$5,276.38",4.14%,,,,
,,BNB,$963.57,10,"$9,635.70",Layer1,Dry Powder,"$12,500.00",9.80%,,,,
,,LINK,$15.69,400,"$6,274.00",Oracle/DePIN,Portfolio total,"$127,490.54",,,,,
,,,,,$0.00,,,,,,,,
,,,,,$0.00,,,,,Short-Term,Mid-Term,Long-Term,
,,,,,$0.00,,,,,0-6 Months,6-18 Months,18+ Months,
,,,,Total value,"$75,316.02",,,,,,,,
,,,,,,,,,,,,,
,MID-CAP ASSETS,RENDER,$2.44,200.00,$487.80,AI/DePIN,,,,,,,
,,ONDO,$0.66,1100,$724.85,RWA/Defi,,,,,,,
,,ZRO,$1.58,500,$789.95,Omnichain,,,,,,,
,,AERO,$1.15,11000,"$12,694.00",Defi/DEX,,,,,,,
,,HNT,$2.37,1000,"$2,366.30",DePIN,,,,,,,
,,VIRTUAL,$1.34,10000,"$13,406.00",AI Agents,,,,,,,
,,NEAR,$2.62,1500,"$3,929.25",L1/AI,Typical Portfolio Structures,,,Blue Chip,Mid Cap,Low Cap,Stablecoins
,,,,,$0.00,,Conservative,,,70%,10%,5%,15%
,,,,,$0.00,,Balanced,,,65%,20%,10%,5%
,,,,Total value,"$34,398.15",,Aggressive,,,50%,25%,20%,5%
,,,,,,,,,,,,,
,LOW-CAP ASSETS,KMNO,$0.0612,23400,"$1,431.71",RWA,,,MarketCap,,,,
,,SERV,$0.0353,12800,$451.99,Defi/DEX,Bluechip,,> $10B,,,,
,,WELL,$0.0117,38500,$450.95,DeFi,Mid Cap,,$500m - $10B,,,,
,,COOKIE,$0.0710,15000,"$1,064.55",AI Agents,Low Cap,,$10m - $500m,,,,
,,DEEP,$0.0670,28000,"$1,877.18",DeFi,Micro Cap,,< $10m,,,,
,,,,,$0.00,,Stablecoins,,$1 (e.g. USDC / USDT),,,,
,,,,,$0.00,,,,,,,,
,,,,,$0.00,,,,,,,,
,,,,,$0.00,,,,,,,,
,,,,,$0.00,,,,,,,,
,,,,,$0.00,,,,,,,,
,,,,Total value,"$5,276.38",,,,,,,,
,,,,,,,,,,,,,
,,Date ,,Total Value ,Percent Change,,,,,,,,
,Portfolio Value Over Time,8/6/2024,," $ 22,261.77 ",#VALUE!,,,,,,,,
,,9/15/2024,," $ 67,528.22 ",203.34%,,,,,,,,
,,11/12/2024,," $ 93,851.70 ",38.98%,,,,,,,,
,,12/7/2024,," $ 142,491.98 ",51.83%,,,,,,,,
,,12/17/2024,," $ 154,030.78 ",8.10%,,,,,,,,
,,12/31/2024,," $ 151,664.39 ",-1.54%,,,,,,,,
,,4/28/2025,," $ 139,556.00 ",-7.98%,,,,,,,,
,,7/9/2025,," $ 137,087.15 ",-1.77%,,,,,,,,
,,8/29/2025,," $ 154,876.36 ",12.98%,,,,,,,,
,,11/11/2025,," $ 127,490.54 ",-17.68%,,,,,,,,
,,,,,-100.00%,,,,,,,,
,,,,,#DIV/0!,,,,,,,,
,,,,,,,,,,,,,
,,Asset ,Initial Price,Current Price,Percent Change ,,,,,,,,
,Asset Average Cost,SOL, $ 124.00 , $ 158.27 ,27.64%,,,,,,,,
,,SUI, $ 0.82 , $ 2.05 ,150.24%,,,,,,,,
,,AAVE, $ 120.00 , $ 212.57 ,77.14%,,,,,,,,
,,VIRTUAL, $ 0.15 , $ 1.34 ,793.73%,,,,,,,,
,,KMNO, $ 0.04 , $ 0.06 ,52.96%,,,,,,,,
,,MORPHO, $ 1.47 , $ 1.99 ,35.35%,,,,,,,,
,,TON, $ 7.25 , $ 2.04 ,-71.83%,,,,,,,,
,,BNB, $ 561.47 , $ 963.57 ,71.62%,,,,,,,,
,,DEEP, $ 0.09 , $ 0.07 ,-26.33%,,,,,,,,
,,,,  ,#DIV/0!,,,,,,,,
,,,,,#DIV/0!,,,,,,,,
,Asset Average Cost,,,,,,,,,,,,